"COUNTY","SHORTPOSTCODE","TOWN","DISTRICT","YEAR","AVGPRICE"
"NORTH YORKSHIRE","","HARROGATE","HARROGATE",2021,226057.142857143
"NORTH YORKSHIRE","","HARROGATE","HARROGATE",2022,206666.666666667
"NORTH YORKSHIRE","","HAWES","RICHMONDSHIRE",2019,385000
"NORTH YORKSHIRE","","HAWES","RICHMONDSHIRE",2022,282500
"NORTH YORKSHIRE","","KEIGHLEY","CRAVEN",2019,583000
"NORTH YORKSHIRE","","KEIGHLEY","CRAVEN",2020,16500
"NORTH YORKSHIRE","","KEIGHLEY","CRAVEN",2021,8e+05
"NORTH YORKSHIRE","","KNARESBOROUGH","HARROGATE",2019,1120000
"NORTH YORKSHIRE","","KNOTTINGLEY","SELBY",2021,1e+05
"NORTH YORKSHIRE","","LANCASTER","CRAVEN",2020,60000
"NORTH YORKSHIRE","","LEEDS","NORTH YORKSHIRE",2022,964000
"NORTH YORKSHIRE","","LEEDS","SELBY",2020,4875
"NORTH YORKSHIRE","","LEEDS","SELBY",2021,12500
"NORTH YORKSHIRE","","LEEDS","SELBY",2022,5050000
"NORTH YORKSHIRE","","LEYBURN","RICHMONDSHIRE",2019,264125
"NORTH YORKSHIRE","","LEYBURN","RICHMONDSHIRE",2020,205000
"NORTH YORKSHIRE","","LEYBURN","RICHMONDSHIRE",2021,173359
"NORTH YORKSHIRE","","LEYBURN","RICHMONDSHIRE",2022,113379
"NORTH YORKSHIRE","","MALTON","RYEDALE",2019,261000
"NORTH YORKSHIRE","","MALTON","RYEDALE",2020,805000
"NORTH YORKSHIRE","","MALTON","RYEDALE",2021,484571
"NORTH YORKSHIRE","","MIDDLESBROUGH","HAMBLETON",2019,3e+05
"NORTH YORKSHIRE","","MIDDLESBROUGH","HAMBLETON",2020,154300
"NORTH YORKSHIRE","","MIDDLESBROUGH","HAMBLETON",2022,2435000
"NORTH YORKSHIRE","","NORTHALLERTON","HAMBLETON",2020,59717.3333333333
"NORTH YORKSHIRE","","NORTHALLERTON","HAMBLETON",2021,384324.5
"NORTH YORKSHIRE","","NORTHALLERTON","RICHMONDSHIRE",2020,10000
"NORTH YORKSHIRE","","PICKERING","NORTH YORKSHIRE",2022,50000
"NORTH YORKSHIRE","","PICKERING","RYEDALE",2019,210000
"NORTH YORKSHIRE","","PICKERING","RYEDALE",2020,117000
"NORTH YORKSHIRE","","PICKERING","RYEDALE",2021,195000
"NORTH YORKSHIRE","","PICKERING","RYEDALE",2022,250000
"NORTH YORKSHIRE","","RICHMOND","RICHMONDSHIRE",2019,42237.2
"NORTH YORKSHIRE","","RICHMOND","RICHMONDSHIRE",2021,243000
"NORTH YORKSHIRE","","RICHMOND","RICHMONDSHIRE",2022,202500
"NORTH YORKSHIRE","","RIPON","HAMBLETON",2019,20000
"NORTH YORKSHIRE","","RIPON","HARROGATE",2019,157625
"NORTH YORKSHIRE","","RIPON","HARROGATE",2020,59000
"NORTH YORKSHIRE","","RIPON","HARROGATE",2021,217500
"NORTH YORKSHIRE","","RIPON","HARROGATE",2022,80556
"NORTH YORKSHIRE","","SALTBURN-BY-THE-SEA","SCARBOROUGH",2022,205500
"NORTH YORKSHIRE","","SCARBOROUGH","NORTH YORKSHIRE",2021,627300
"NORTH YORKSHIRE","","SCARBOROUGH","NORTH YORKSHIRE",2022,2650000
"NORTH YORKSHIRE","","SCARBOROUGH","SCARBOROUGH",2019,150303.888888889
"NORTH YORKSHIRE","","SCARBOROUGH","SCARBOROUGH",2020,53000
"NORTH YORKSHIRE","","SCARBOROUGH","SCARBOROUGH",2021,68295.8571428571
"NORTH YORKSHIRE","","SCARBOROUGH","SCARBOROUGH",2022,888000
"NORTH YORKSHIRE","","SELBY","SELBY",2019,958850.666666667
"NORTH YORKSHIRE","","SELBY","SELBY",2020,113500
"NORTH YORKSHIRE","","SELBY","SELBY",2021,1065333.33333333
"NORTH YORKSHIRE","","SKIPTON","CRAVEN",2019,85500
"NORTH YORKSHIRE","","SKIPTON","CRAVEN",2020,30000
"NORTH YORKSHIRE","","SKIPTON","CRAVEN",2021,40000
"NORTH YORKSHIRE","","TADCASTER","HARROGATE",2019,45024
"NORTH YORKSHIRE","","TADCASTER","SELBY",2022,93114
"NORTH YORKSHIRE","","THIRSK","HAMBLETON",2019,1147750
"NORTH YORKSHIRE","","THIRSK","HAMBLETON",2020,13000
"NORTH YORKSHIRE","","THIRSK","HAMBLETON",2021,132500
"NORTH YORKSHIRE","","THIRSK","HAMBLETON",2022,4000
"NORTH YORKSHIRE","","WETHERBY","HARROGATE",2021,620000
"NORTH YORKSHIRE","","WHITBY","SCARBOROUGH",2019,126000
"NORTH YORKSHIRE","","WHITBY","SCARBOROUGH",2020,14100
"NORTH YORKSHIRE","","WHITBY","SCARBOROUGH",2021,100033.333333333
"NORTH YORKSHIRE","","WHITBY","SCARBOROUGH",2022,1455000
"NORTH YORKSHIRE","","YARM","HAMBLETON",2019,235000
"NORTH YORKSHIRE","","YARM","HAMBLETON",2020,249000
"NORTH YORKSHIRE","","YORK","HAMBLETON",2019,62000
"NORTH YORKSHIRE","","YORK","HAMBLETON",2020,35005
"NORTH YORKSHIRE","","YORK","HAMBLETON",2021,868790
"NORTH YORKSHIRE","","YORK","HAMBLETON",2022,135000
"NORTH YORKSHIRE","","YORK","HARROGATE",2019,128500
"NORTH YORKSHIRE","","YORK","HARROGATE",2020,85827
"NORTH YORKSHIRE","","YORK","NORTH YORKSHIRE",2020,2536000
"NORTH YORKSHIRE","","YORK","NORTH YORKSHIRE",2021,269750
"NORTH YORKSHIRE","","YORK","RYEDALE",2020,478930
"NORTH YORKSHIRE","","YORK","RYEDALE",2021,61000
"NORTH YORKSHIRE","","YORK","SELBY",2019,46500
"NORTH YORKSHIRE","","YORK","SELBY",2022,57500
"NORTH YORKSHIRE","BB18","BARNOLDSWICK","CRAVEN",2019,850000
"NORTH YORKSHIRE","BD20","KEIGHLEY","CRAVEN",2019,266894.142028985
"NORTH YORKSHIRE","BD20","KEIGHLEY","CRAVEN",2020,277579.468152866
"NORTH YORKSHIRE","BD20","KEIGHLEY","CRAVEN",2021,281987.009966777
"NORTH YORKSHIRE","BD20","KEIGHLEY","CRAVEN",2022,277105.196531792
"NORTH YORKSHIRE","BD20","KEIGHLEY","HARROGATE",2021,40000
"NORTH YORKSHIRE","BD20","KEIGHLEY","NORTH YORKSHIRE",2019,395000
"NORTH YORKSHIRE","BD20","KEIGHLEY","NORTH YORKSHIRE",2020,424998.75
"NORTH YORKSHIRE","BD20","KEIGHLEY","NORTH YORKSHIRE",2021,447388
"NORTH YORKSHIRE","BD20","KEIGHLEY","NORTH YORKSHIRE",2022,510368.75
"NORTH YORKSHIRE","BD20","KEIGHLEY","RICHMONDSHIRE",2021,165000
"NORTH YORKSHIRE","BD22","KEIGHLEY","CRAVEN",2019,368783.035714286
"NORTH YORKSHIRE","BD22","KEIGHLEY","CRAVEN",2020,234342.708333333
"NORTH YORKSHIRE","BD22","KEIGHLEY","CRAVEN",2021,276115.384615385
"NORTH YORKSHIRE","BD22","KEIGHLEY","CRAVEN",2022,225209.722222222
"NORTH YORKSHIRE","BD22","KEIGHLEY","NORTH YORKSHIRE",2022,235000
"NORTH YORKSHIRE","BD23","HEBDEN BRIDGE","CRAVEN",2019,263500
"NORTH YORKSHIRE","BD23","SKIPTON","CRAVEN",2019,304535.984025559
"NORTH YORKSHIRE","BD23","SKIPTON","CRAVEN",2020,321588.607907743
"NORTH YORKSHIRE","BD23","SKIPTON","CRAVEN",2021,299765.184573003
"NORTH YORKSHIRE","BD23","SKIPTON","CRAVEN",2022,354157.604989605
"NORTH YORKSHIRE","BD23","SKIPTON","NORTH YORKSHIRE",2019,785000
"NORTH YORKSHIRE","BD23","SKIPTON","NORTH YORKSHIRE",2021,361939.473684211
"NORTH YORKSHIRE","BD23","SKIPTON","NORTH YORKSHIRE",2022,367854.523809524
"NORTH YORKSHIRE","BD24","SETTLE","CRAVEN",2019,326086.553571429
"NORTH YORKSHIRE","BD24","SETTLE","CRAVEN",2020,264520.491071429
"NORTH YORKSHIRE","BD24","SETTLE","CRAVEN",2021,331721.544827586
"NORTH YORKSHIRE","BD24","SETTLE","CRAVEN",2022,319163.74
"NORTH YORKSHIRE","BD24","SETTLE","NORTH YORKSHIRE",2020,227500
"NORTH YORKSHIRE","BD24","SETTLE","NORTH YORKSHIRE",2022,240600
"NORTH YORKSHIRE","DL10","RICHMOND","HAMBLETON",2021,300975
"NORTH YORKSHIRE","DL10","RICHMOND","HAMBLETON",2022,360000
"NORTH YORKSHIRE","DL10","RICHMOND","NORTH YORKSHIRE",2021,260642.857142857
"NORTH YORKSHIRE","DL10","RICHMOND","NORTH YORKSHIRE",2022,298895
"NORTH YORKSHIRE","DL10","RICHMOND","RICHMONDSHIRE",2019,240798.139751553
"NORTH YORKSHIRE","DL10","RICHMOND","RICHMONDSHIRE",2020,272520.22875817
"NORTH YORKSHIRE","DL10","RICHMOND","RICHMONDSHIRE",2021,292203.201044386
"NORTH YORKSHIRE","DL10","RICHMOND","RICHMONDSHIRE",2022,293474.902439024
"NORTH YORKSHIRE","DL11","RICHMOND","NORTH YORKSHIRE",2021,313400
"NORTH YORKSHIRE","DL11","RICHMOND","RICHMONDSHIRE",2019,359618.739130435
"NORTH YORKSHIRE","DL11","RICHMOND","RICHMONDSHIRE",2020,339409.355263158
"NORTH YORKSHIRE","DL11","RICHMOND","RICHMONDSHIRE",2021,347080.3515625
"NORTH YORKSHIRE","DL11","RICHMOND","RICHMONDSHIRE",2022,397811.671428571
"NORTH YORKSHIRE","DL12","BARNARD CASTLE","RICHMONDSHIRE",2019,3e+05
"NORTH YORKSHIRE","DL12","BARNARD CASTLE","RICHMONDSHIRE",2021,283000
"NORTH YORKSHIRE","DL2","DARLINGTON","HAMBLETON",2020,460000
"NORTH YORKSHIRE","DL2","DARLINGTON","HAMBLETON",2021,1400000
"NORTH YORKSHIRE","DL2","DARLINGTON","HAMBLETON",2022,678000
"NORTH YORKSHIRE","DL2","DARLINGTON","RICHMONDSHIRE",2019,325208.833333333
"NORTH YORKSHIRE","DL2","DARLINGTON","RICHMONDSHIRE",2020,353190.428571429
"NORTH YORKSHIRE","DL2","DARLINGTON","RICHMONDSHIRE",2021,358299.409090909
"NORTH YORKSHIRE","DL2","DARLINGTON","RICHMONDSHIRE",2022,407182.533333333
"NORTH YORKSHIRE","DL6","NORTHALLERTON","HAMBLETON",2019,271359.545454545
"NORTH YORKSHIRE","DL6","NORTHALLERTON","HAMBLETON",2020,262309.971659919
"NORTH YORKSHIRE","DL6","NORTHALLERTON","HAMBLETON",2021,306524.404761905
"NORTH YORKSHIRE","DL6","NORTHALLERTON","HAMBLETON",2022,290831.260869565
"NORTH YORKSHIRE","DL6","NORTHALLERTON","NORTH YORKSHIRE",2020,218950
"NORTH YORKSHIRE","DL6","NORTHALLERTON","NORTH YORKSHIRE",2021,240283.263157895
"NORTH YORKSHIRE","DL6","NORTHALLERTON","NORTH YORKSHIRE",2022,278995
"NORTH YORKSHIRE","DL6","NORTHALLERTON","RYEDALE",2022,285000
"NORTH YORKSHIRE","DL7","NORTHALLERTON","HAMBLETON",2019,293489
"NORTH YORKSHIRE","DL7","NORTHALLERTON","HAMBLETON",2020,262010.233009709
"NORTH YORKSHIRE","DL7","NORTHALLERTON","HAMBLETON",2021,323964.202531646
"NORTH YORKSHIRE","DL7","NORTHALLERTON","HAMBLETON",2022,264349.798941799
"NORTH YORKSHIRE","DL7","NORTHALLERTON","NORTH YORKSHIRE",2019,401997.5
"NORTH YORKSHIRE","DL7","NORTHALLERTON","NORTH YORKSHIRE",2021,260562.5
"NORTH YORKSHIRE","DL7","NORTHALLERTON","NORTH YORKSHIRE",2022,322100
"NORTH YORKSHIRE","DL7","NORTHALLERTON","RICHMONDSHIRE",2019,294461.125
"NORTH YORKSHIRE","DL7","NORTHALLERTON","RICHMONDSHIRE",2020,311750
"NORTH YORKSHIRE","DL7","NORTHALLERTON","RICHMONDSHIRE",2021,437995
"NORTH YORKSHIRE","DL7","NORTHALLERTON","RICHMONDSHIRE",2022,363325
"NORTH YORKSHIRE","DL8","BEDALE","HAMBLETON",2019,270560.229299363
"NORTH YORKSHIRE","DL8","BEDALE","HAMBLETON",2020,252264.333333333
"NORTH YORKSHIRE","DL8","BEDALE","HAMBLETON",2021,303401.36627907
"NORTH YORKSHIRE","DL8","BEDALE","HAMBLETON",2022,322912.461538462
"NORTH YORKSHIRE","DL8","BEDALE","HARROGATE",2020,414950
"NORTH YORKSHIRE","DL8","BEDALE","NORTH YORKSHIRE",2019,510000
"NORTH YORKSHIRE","DL8","BEDALE","NORTH YORKSHIRE",2021,488232.5
"NORTH YORKSHIRE","DL8","BEDALE","NORTH YORKSHIRE",2022,277634.545454545
"NORTH YORKSHIRE","DL8","BEDALE","RICHMONDSHIRE",2019,278770.416666667
"NORTH YORKSHIRE","DL8","BEDALE","RICHMONDSHIRE",2020,268291.666666667
"NORTH YORKSHIRE","DL8","BEDALE","RICHMONDSHIRE",2021,422183.636363636
"NORTH YORKSHIRE","DL8","BEDALE","RICHMONDSHIRE",2022,434026.315789474
"NORTH YORKSHIRE","DL8","HAWES","NORTH YORKSHIRE",2019,160000
"NORTH YORKSHIRE","DL8","HAWES","NORTH YORKSHIRE",2020,403000
"NORTH YORKSHIRE","DL8","HAWES","NORTH YORKSHIRE",2022,361000
"NORTH YORKSHIRE","DL8","HAWES","RICHMONDSHIRE",2019,237320.84375
"NORTH YORKSHIRE","DL8","HAWES","RICHMONDSHIRE",2020,301476.666666667
"NORTH YORKSHIRE","DL8","HAWES","RICHMONDSHIRE",2021,473374.0625
"NORTH YORKSHIRE","DL8","HAWES","RICHMONDSHIRE",2022,286315.25
